,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
810,20190515.0.10,54,49,28440,2.36795,19874.84769468
811,20190515.0.10,54,49,28620,2.43295,21608.41205952
812,20190515.0.10,54,49,28800,2.5629500000000003,22595.49352368
813,20190515.0.10,54,49,28980,2.665,23773.977540720003
814,20190515.0.10,54,49,29160,2.7462500000000003,26053.64240292
815,20190515.0.10,54,49,29340,2.8756000000000004,28430.41126068
816,20190515.0.10,54,49,29520,3.0004,30600.78427098
817,20190515.0.10,54,49,29700,3.1284500000000004,33684.13012536
818,20190515.0.10,54,49,29880,3.2006,34299.22085964
819,20190515.0.10,54,49,30060,3.38,38290.87304658
820,20190515.0.10,54,49,30240,3.5191000000000003,39556.85107374
821,20190515.0.10,54,49,30420,3.6478,43448.5924686
822,20190515.0.10,54,49,30600,3.71215,44514.14825682
823,20190515.0.10,54,49,30780,3.83825,48109.65076368
824,20190515.0.10,54,49,30960,3.96825,49893.575193
825,20190515.0.10,55,49,27360,2.12485,18570.62241342
826,20190515.0.10,55,49,27540,2.24055,19367.1139662
827,20190515.0.10,55,49,27720,2.275,20006.3329488
828,20190515.0.10,55,49,27900,2.34,20527.17776208
829,20190515.0.10,55,49,28080,2.405,20598.687576720004
830,20190515.0.10,55,49,28260,2.535,21335.56353126
831,20190515.0.10,55,49,28440,2.67605,21826.29976758
832,20190515.0.10,55,49,28620,2.75405,23141.94026364
833,20190515.0.10,55,49,28800,2.8782,23604.38557488
834,20190515.0.10,55,49,28980,3.0095,24158.26857312
835,20190515.0.10,55,49,29160,3.12,25472.71544994
836,20190515.0.10,55,49,29340,3.3254,26782.88814432
837,20190515.0.10,55,49,29520,3.4450000000000003,27744.88288968
838,20190515.0.10,56,48,27540,2.22885,16003.627742520002
839,20190515.0.10,56,48,27720,2.275,16552.53441666
840,20190515.0.10,56,48,27900,2.34,17424.3322737
841,20190515.0.10,56,48,28080,2.4817,17690.292229500003
842,20190515.0.10,56,48,28260,2.47,18047.00754054
843,20190515.0.10,56,48,28440,2.48625,18067.51878822
844,20190515.0.10,56,48,28620,2.5493,19625.44748274
845,20190515.0.10,56,48,28800,2.6175500000000005,19185.67753344
846,20190515.0.10,56,48,28980,2.73715,19753.03068354
847,20190515.0.10,56,48,29160,2.795,20919.04689402
848,20190515.0.10,56,48,29340,2.99,22886.44810254
849,20190515.0.10,56,48,29520,3.00105,23222.7746388
850,20190515.0.10,56,48,29700,3.13625,26007.47332128
851,20190515.0.10,56,48,29880,3.2591,26357.105275380003
852,20190515.0.10,56,48,30060,3.45345,28109.52210726
853,20190515.0.10,56,48,30240,3.58605,27922.5680877
854,20190515.0.10,57,48,27540,2.015,17050.490944740002
855,20190515.0.10,57,48,27720,2.1177,17312.82513246
856,20190515.0.10,57,48,27900,2.23925,17775.84373488
857,20190515.0.10,57,48,28080,2.3127,18077.39242254
858,20190515.0.10,57,48,28260,2.4219,18577.23254244
859,20190515.0.10,57,48,28440,2.496,18894.46460814
860,20190515.0.10,57,48,28620,2.5597000000000003,20666.637897840003
861,20190515.0.10,57,48,28800,2.691,21169.24513704
862,20190515.0.10,57,48,28980,2.80995,21619.514329380003
863,20190515.0.10,57,48,29160,2.93735,23116.49366994
864,20190515.0.10,57,48,29340,3.07255,24448.13202744
865,20190515.0.10,57,48,29520,3.2019,25259.167955340003
866,20190515.0.10,57,48,29700,3.33515,27129.35230632
867,20190515.0.10,57,48,29880,3.40145,27074.9303055
868,20190515.0.10,57,48,30060,3.59255,29281.74678
869,20190515.0.10,57,48,30240,3.70955,28818.49094982
870,20190515.0.10,60,56,30420,1.885,15020.716659300002
871,20190515.0.10,60,56,30600,2.015,14939.410159080002
872,20190515.0.10,60,56,30780,2.08,15740.269766100002
873,20190515.0.10,60,56,30960,2.08,15591.01069152
874,20190515.0.10,60,56,31140,2.21,16393.250705039998
875,20190515.0.10,60,56,31320,2.275,16619.99449374
876,20190515.0.10,60,56,31500,2.34,16896.55775148
877,20190515.0.10,60,56,31680,2.405,17231.943498660003
878,20190515.0.10,60,56,31860,2.47,17584.67021256
879,20190515.0.10,60,56,32040,2.6,18647.77933854
880,20190515.0.10,60,56,32220,2.73,18917.510980500003
881,20190515.0.10,60,56,32400,2.8600000000000003,19102.79305242
882,20190515.0.10,60,56,32580,2.8600000000000003,19009.2267486
883,20190515.0.10,60,56,32760,2.9250000000000003,20772.31506372
884,20190515.0.10,60,56,32940,3.055,20385.2035035
885,20190515.0.10,60,56,33120,3.12,21633.55387776
886,20190515.0.10,60,56,33300,3.25,21674.0352906
887,20190515.0.10,60,56,33480,3.38,23154.11824374
888,20190515.0.10,60,56,33660,3.4495500000000003,22799.22778584
889,20190515.0.10,60,56,33840,3.6491,24734.429127540003
890,20190515.0.10,60,56,34020,3.8454,25959.424168260004
891,20190515.0.10,60,56,34200,3.965,27474.16853016
892,20190515.0.10,61,56,30420,1.7316,14805.078498540002
893,20190515.0.10,61,56,30600,1.7901,14980.8806136
894,20190515.0.10,61,56,30780,1.85445,15724.526887080005
895,20190515.0.10,61,56,30960,1.8707,15675.906983220002
896,20190515.0.10,61,56,31140,1.9812,16652.684452139998
897,20190515.0.10,61,56,31320,2.0423,17096.987457
898,20190515.0.10,61,56,31500,2.10405,17507.58131826
899,20190515.0.10,61,56,31680,2.23015,18050.9045508
900,20190515.0.10,61,56,31860,2.30035,18445.18479408
901,20190515.0.10,61,56,32040,2.366,19556.3182122
902,20190515.0.10,61,56,32220,2.48625,20012.28994314
903,20190515.0.10,61,56,32400,2.496,19696.146129
904,20190515.0.10,61,56,32580,2.6819,20347.7975217
905,20190515.0.10,61,56,32760,2.75665,21582.443375460003
906,20190515.0.10,61,56,32940,2.93475,21630.93854922
907,20190515.0.10,61,56,33120,3.0667,23332.4828154
908,20190515.0.10,61,56,33300,3.185,23620.6607769
909,20190515.0.10,61,56,33480,3.45345,26096.39282646
910,20190515.0.10,61,56,33660,3.64715,25772.83104924
911,20190515.0.10,62,57,30420,1.82,15381.762610500002
912,20190515.0.10,62,57,30600,1.924,15018.02154072
913,20190515.0.10,62,57,30780,2.041,15640.393994280004
914,20190515.0.10,62,57,30960,2.1073000000000004,15584.29166448
915,20190515.0.10,62,57,31140,2.2295,16721.549808480002
916,20190515.0.10,62,57,31320,2.2418500000000003,17009.4207294
917,20190515.0.10,62,57,31500,2.4245,18020.887521120003
918,20190515.0.10,62,57,31680,2.43295,18345.90670506
919,20190515.0.10,62,57,31860,2.57075,19233.31901436
920,20190515.0.10,62,57,32040,2.665,20545.331469300003
